City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,angra dos reis,-23.0067,-44.3181,22.26,80,93,0.93,BR,1736808464
329,toamasina,-18.1667,49.3833,26.0,94,75,1.03,MG,1736808635
330,floro,61.5996,5.0328,8.98,93,100,10.8,NO,1736808636
331,oranjemund,-28.55,16.4333,17.56,93,29,3.37,NA,1736808637
332,vernon,50.2581,-119.2691,1.74,78,64,1.03,CA,1736808638
333,bafq,31.6128,55.4107,7.18,55,2,0.55,IR,1736808640
334,guerrero negro,27.9769,-114.0611,18.78,24,30,4.19,MX,1736808373
335,zouerate,22.7187,-12.4521,17.12,22,0,2.38,MR,1736808643
336,trujillo,-8.116,-79.03,20.98,78,40,5.14,PE,1736808469
337,brokopondo,4.75,-55.1667,26.13,75,100,4.33,SR,1736808645
338,khanty-mansiysk,61.0042,69.0019,-5.94,79,75,5.0,RU,1736808646
339,afaahiti,-17.75,-149.2833,26.79,78,63,11.97,PF,1736808647
340,punta arenas,-53.15,-70.9167,14.06,54,0,11.32,CL,1736808452
341,mao,39.8885,4.2658,9.31,71,75,8.75,ES,1736808649
342,emet,39.343,29.2585,7.2,95,100,0.45,TR,1736808651
343,mugia,43.1041,-9.2179,5.51,57,78,5.22,ES,1736808652
344,levuka,50.1834,-105.4011,-13.15,78,75,4.63,CA,1736808653
345,ambon,-3.6954,128.1814,30.13,100,100,2.33,ID,1736808654
346,tofol,5.3248,163.0078,28.36,77,62,8.86,FM,1736808655
347,mount gambier,-37.8333,140.7667,23.83,45,6,2.93,AU,1736808656
348,keflavik,64.0049,-22.5624,5.24,100,75,6.69,IS,1736808657
349,nago,26.5881,127.9761,14.2,63,26,2.1,JP,1736808658
350,bada,51.392,109.8717,-18.9,94,98,3.45,RU,1736808659
351,holualoa,19.6228,-155.9522,25.86,66,20,5.14,US,1736808660
352,sao geraldo do araguaia,-6.4006,-48.555,23.53,97,95,0.94,BR,1736808662
353,lambarene,-0.7001,10.2406,24.25,94,100,1.15,GA,1736808663
354,belyy yar,53.6039,91.3903,-16.06,100,93,0.0,RU,1736808664
355,mancio lima,-7.6142,-72.8958,29.04,74,40,2.57,BR,1736808665
356,novyy rogachik,48.6768,44.0608,-2.5,76,100,2.97,RU,1736808666
357,isangel,-19.55,169.2667,29.06,74,20,1.03,VU,1736808667
358,college,64.8569,-147.8028,1.97,68,75,1.54,US,1736808668
359,happy valley-goose bay,53.3168,-60.3315,-4.83,74,75,3.09,CA,1736808669
360,la gi,10.6667,107.7833,22.51,78,98,1.65,VN,1736808670
